extraversion,estabilidad_emocional,apertura,responsabilidad,amabilidad
3.06,3.06,3.55,4.14,3.58
2.32,3.48,3.43,3.56,3.75
3.26,4.16,4.1,3.77,3.17
2.58,3.41,4.58,3.72,3.6
3.42,2.01,3.4,4.0,4.26
3.0,3.51,3.81,4.19,2.92
3.44,1.96,1.73,3.32,3.05
3.61,3.75,2.75,4.23,2.99
3.09,2.96,3.71,4.21,4.1
3.32,3.74,3.97,3.31,3.18
2.88,3.61,3.45,3.19,2.92
3.55,4.37,3.99,4.22,4.64
3.08,2.04,3.24,4.29,2.69
3.15,3.41,3.4,4.15,4.06
4.4,3.71,3.19,3.35,3.11
3.65,2.74,3.58,4.17,3.18
2.97,1.69,2.84,3.34,3.95
3.78,3.19,3.82,3.8,4.41
3.62,3.43,2.9,4.26,3.93
3.8,3.18,3.37,4.69,3.75
2.85,2.28,3.52,4.59,4.22
3.51,1.26,4.14,4.04,3.3
2.79,3.2,4.88,3.04,3.38
3.87,2.84,3.36,3.76,2.83
3.25,2.21,4.27,3.7,3.86
3.88,2.13,3.54,3.9,4.86
2.22,4.02,4.06,4.65,4.15
3.16,2.78,2.72,3.82,3.54
4.23,2.7,3.86,2.72,3.4
3.28,3.88,4.67,3.67,2.91
3.38,3.63,3.98,3.26,4.44
3.18,3.78,4.55,4.08,3.87
4.3,3.4,3.41,3.77,4.68
3.2,3.63,4.49,3.38,2.5
3.3,3.39,3.19,4.24,4.08
2.59,3.63,3.49,2.77,3.98
3.11,2.59,4.01,4.0,3.28
3.35,4.04,3.11,3.94,3.67
4.37,1.68,4.13,3.51,3.6
4.17,3.2,3.31,3.92,3.34
2.76,3.26,3.42,3.82,2.24
4.22,3.07,4.89,3.07,3.87
4.85,2.49,2.55,3.36,3.99
3.51,4.26,3.44,2.7,3.38
3.81,3.59,2.21,3.68,4.62
4.29,3.66,3.85,2.92,3.1
3.16,3.62,4.05,3.4,2.89
2.71,2.25,4.09,2.26,3.44
3.38,4.45,3.68,4.32,3.4
2.73,2.65,4.73,4.32,4.0
4.94,3.18,4.08,3.89,3.52
4.39,4.44,2.62,3.45,3.96
3.56,2.1,2.0,2.51,3.62
3.08,3.49,3.07,2.93,2.3
3.31,3.51,4.35,4.19,3.54
3.87,3.09,3.15,3.37,3.27
1.96,3.33,3.81,3.47,3.19
3.34,4.61,3.66,3.38,3.27
3.1,2.17,3.54,3.74,4.92
3.65,4.05,3.11,4.12,2.9
3.3,3.55,3.07,4.95,4.06
2.1,3.66,3.33,3.7,3.99
3.35,1.53,2.79,4.18,4.55
4.17,4.68,2.14,4.18,2.37
4.01,3.41,2.8,4.95,4.11
2.11,3.44,3.1,3.77,3.35
3.88,2.04,3.86,4.83,3.11
3.25,3.37,3.13,4.1,3.74
2.62,4.65,4.2,3.59,3.24
2.71,4.21,3.52,3.98,3.55
3.47,3.11,4.18,3.58,4.23
3.5,3.11,3.01,3.11,3.17
2.6,3.91,3.59,4.68,3.69
2.29,2.89,3.57,2.77,3.5
3.29,2.83,3.07,3.22,4.88
3.05,2.52,3.36,4.29,3.21
3.4,3.8,4.17,4.57,3.3
3.75,2.55,3.34,4.44,4.23
3.13,2.23,4.03,3.3,3.04
2.78,3.41,2.09,3.92,3.79
2.82,4.05,4.07,3.32,3.22
3.51,1.96,3.39,3.3,3.72
3.25,3.23,4.45,3.84,3.46
2.48,3.8,4.01,4.6,3.16
3.15,3.16,3.56,3.7,2.51
3.58,3.74,4.45,3.5,3.65
3.14,4.8,2.38,4.0,2.67
1.73,1.55,2.63,4.37,3.08
3.01,2.25,4.07,3.01,4.56
2.59,2.58,3.72,3.71,4.64
3.2,2.21,3.22,3.34,4.16
3.34,3.11,4.26,3.37,3.58
3.23,4.46,3.56,3.48,2.96
3.51,2.72,3.88,2.51,4.38
2.41,2.57,4.39,2.87,3.62
3.17,2.38,4.6,4.63,2.33
2.35,3.87,2.68,3.46,3.76
3.51,3.02,3.7,3.21,4.55
2.86,3.48,3.26,3.76,3.56
3.05,2.37,4.2,4.58,3.84
3.53,3.89,4.3,3.89,3.81
3.6,3.26,2.92,3.71,2.39
3.13,3.54,4.52,3.79,4.3
3.13,2.36,2.61,3.09,2.74
3.48,3.03,4.04,3.74,4.38
3.71,2.67,3.43,3.37,2.57
3.5,4.18,3.62,3.39,4.41
1.86,3.35,3.73,3.34,4.61
3.66,2.99,3.56,3.46,3.32
2.42,4.34,4.37,4.2,2.93
4.26,4.83,3.76,3.13,3.08
3.36,2.46,3.6,4.38,2.65
4.22,4.49,2.73,2.82,3.48
2.57,2.99,1.76,3.56,4.89
2.53,2.98,2.55,4.1,3.52
4.19,3.37,3.36,4.04,3.33
2.41,3.45,3.5,3.8,3.93
2.86,3.55,4.88,3.01,4.85
3.0,2.58,3.74,4.55,4.23
2.22,3.3,3.25,2.86,2.47
3.19,3.69,3.91,3.51,3.13
2.6,2.75,2.88,3.57,3.66
2.65,3.01,3.08,3.7,4.01
3.23,3.59,2.43,3.46,3.86
3.48,1.89,3.74,4.45,3.55
3.08,3.57,3.81,4.12,3.72
